step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
138,2.3566271381e+02,3.4462579694e+02,7.1772979494e-01,1.6302457558e+00,2.5853776932e-01,2.3923031986e-01,8.8726629639e+02,2.4344377220e-01,2.9030606079e+02
139,2.3564540685e+02,3.4459288951e+02,7.1787809726e-01,1.6301060391e+00,2.5860834122e-01,2.3943343759e-01,8.8717944336e+02,2.4361036718e-01,2.9030593872e+02
140,2.3577866476e+02,3.4484514000e+02,7.1781387322e-01,1.6303005782e+00,2.5843408704e-01,2.3910124600e-01,8.8784637451e+02,2.4374987185e-01,2.9030566406e+02
141,2.3580851442e+02,3.4490178340e+02,7.1765709930e-01,1.6304615402e+00,2.5852262974e-01,2.3885239661e-01,8.8799597168e+02,2.4343927205e-01,2.9030578613e+02
142,2.3578198978e+02,3.4485158007e+02,7.1751705474e-01,1.6305475331e+00,2.5846588612e-01,2.3886869848e-01,8.8786303711e+02,2.4311968684e-01,2.9030645752e+02
143,2.3580788295e+02,3.4490024425e+02,7.1779759995e-01,1.6303450828e+00,2.5846391916e-01,2.3931427300e-01,8.8799200439e+02,2.4341878295e-01,2.9030621338e+02
144,2.3579943145e+02,3.4488374450e+02,7.1774224890e-01,1.6303820154e+00,2.5842881203e-01,2.3912502825e-01,8.8794818115e+02,2.4349988997e-01,2.9030792236e+02
145,2.3579394476e+02,3.4487151655e+02,7.1765387547e-01,1.6304504942e+00,2.5836062431e-01,2.3885254562e-01,8.8791528320e+02,2.4359828234e-01,2.9031362915e+02
146,2.3582757632e+02,3.4493418481e+02,7.1743072317e-01,1.6306708130e+00,2.5843438506e-01,2.3865823448e-01,8.8808044434e+02,2.4305339158e-01,2.9031729126e+02
147,2.3686326854e+02,3.4689297904e+02,7.1804760967e-01,1.6312693707e+00,2.5831162930e-01,2.3900617659e-01,8.9325817871e+02,2.4312768877e-01,2.9031771851e+02
